parent_chembl_id,parent_name,parent_smiles,fragment_smiles,fragment_clean,n_atoms
CHEMBL1272,REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,[1*]C(=O)C[8*],[H]C(=O)C[H],3
CHEMBL1274,NILUTAMIDE,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,[8*]C(F)(F)F,[H]C(F)(F)F,4
CHEMBL1274,NILUTAMIDE,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,[16*]c1ccc([N+](=O)[O-])c([16*])c1,[H]c1ccc([N+](=O)[O-])c([H])c1,9
CHEMBL1274,NILUTAMIDE,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,[10*]N1C(=O)NC(C)(C)C1=O,[H]N1C(=O)NC(C)(C)C1=O,9
CHEMBL1275,PERGOLIDE MESYLATE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,[4*]CCC,[H]CCC,3
CHEMBL1275,PERGOLIDE MESYLATE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,[5*]N1C[C@H]([15*])C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,[H]N1C[C@H]([H])C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,16
CHEMBL1278,NARATRIPTAN,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,[15*]C1CCN(C)CC1,[H]C1CCN(C)CC1,7
CHEMBL1278,NARATRIPTAN,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,[8*]CCS([12*])(=O)=O,[H]CCS([H])(=O)=O,5
CHEMBL1278,NARATRIPTAN,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,[16*]c1ccc2[nH]cc([16*])c2c1,[H]c1ccc2[nH]cc([H])c2c1,9
CHEMBL1279,FROVATRIPTAN,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,[6*]C(N)=O,[H]C(N)=O,3
CHEMBL1279,FROVATRIPTAN,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,[15*][C@@H]1CCc2[nH]c3ccc([16*])cc3c2C1,[H][C@@H]1CCc2[nH]c3ccc([H])cc3c2C1,13
CHEMBL1280,VERAPAMIL HYDROCHLORIDE,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,[4*]CCCC([8*])(C#N)C(C)C,[H]CCCC([H])(C#N)C(C)C,9
CHEMBL1280,VERAPAMIL HYDROCHLORIDE,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,[16*]c1ccc([16*])c([16*])c1,[H]c1ccc([H])c([H])c1,6
CHEMBL149972,PHENOBARBITAL SODIUM,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+],[16*]c1ccccc1,[H]c1ccccc1,6
CHEMBL149972,PHENOBARBITAL SODIUM,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+],[15*]C1([15*])C(=O)N=C([O-])NC1=O,[H]C1([H])C(=O)N=C([O-])NC1=O,9
CHEMBL1282,IMIQUIMOD,CC(C)Cn1cnc2c(N)nc3ccccc3c21,[8*]CC(C)C,[H]CC(C)C,4
CHEMBL1282,IMIQUIMOD,CC(C)Cn1cnc2c(N)nc3ccccc3c21,[9*]n1cnc2c(N)nc3ccccc3c21,[H]n1cnc2c(N)nc3ccccc3c21,14
CHEMBL348000,CINCHOPHEN,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,[14*]c1cc([16*])c2ccccc2n1,[H]c1cc([H])c2ccccc2n1,10
CHEMBL348000,CINCHOPHEN,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,[16*]c1ccccc1,[H]c1ccccc1,6
CHEMBL348000,CINCHOPHEN,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,[6*]C(=O)O,[H]C(=O)O,3
CHEMBL1286,LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,[10*]N1CCCC1=O,[H]N1CCCC1=O,6
CHEMBL1286,LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,[8*][C@@H](CC)C(N)=O,[H][C@@H](CC)C(N)=O,6
CHEMBL1289,HALOPROGIN,Clc1cc(Cl)c(OCC#CI)cc1Cl,[16*]c1cc(Cl)c(Cl)cc1Cl,[H]c1cc(Cl)c(Cl)cc1Cl,9
CHEMBL1289,HALOPROGIN,Clc1cc(Cl)c(OCC#CI)cc1Cl,[4*]CC#CI,[H]CC#CI,4
CHEMBL1290,PENBUTOLOL,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,[16*]c1ccccc1[16*],[H]c1ccccc1[H],6
CHEMBL1290,PENBUTOLOL,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,[15*]C1CCCC1,[H]C1CCCC1,5
CHEMBL1290,PENBUTOLOL,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,[4*]CC(O)C[4*],[H]CC(O)C[H],4
CHEMBL1290,PENBUTOLOL,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,[4*]C(C)(C)C,[H]C(C)(C)C,4
CHEMBL345524,ANTRAFENINE,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,[8*]C(F)(F)F,[H]C(F)(F)F,4
CHEMBL345524,ANTRAFENINE,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,[16*]c1ccc2c([16*])ccnc2c1,[H]c1ccc2c([H])ccnc2c1,10
CHEMBL345524,ANTRAFENINE,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,[16*]c1ccccc1[16*],[H]c1ccccc1[H],6
CHEMBL345524,ANTRAFENINE,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,[16*]c1cccc([16*])c1,[H]c1cccc([H])c1,6
CHEMBL345524,ANTRAFENINE,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,[5*]N1CCN([5*])CC1,[H]N1CCN([H])CC1,6
CHEMBL152684,BECLOBRATE,CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1,[16*]c1ccc(Cl)cc1,[H]c1ccc(Cl)cc1,7
CHEMBL152684,BECLOBRATE,CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1,[16*]c1ccc([16*])cc1,[H]c1ccc([H])cc1,6
CHEMBL152684,BECLOBRATE,CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1,[1*]C(=O)C([4*])(C)CC,[H]C(=O)C([H])(C)CC,6
CHEMBL1291,METIPRANOLOL,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,[1*]C(C)=O,[H]C(C)=O,3
CHEMBL1291,METIPRANOLOL,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,[16*]c1cc(C)c([16*])c(C)c1C,[H]c1cc(C)c([H])c(C)c1C,9
CHEMBL1291,METIPRANOLOL,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,[4*]CC(O)C[4*],[H]CC(O)C[H],4
CHEMBL1291,METIPRANOLOL,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,[4*]C(C)C,[H]C(C)C,3
CHEMBL1292,CLOFAZIMINE,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,[16*]c1ccc(Cl)cc1,[H]c1ccc(Cl)cc1,7
CHEMBL1292,CLOFAZIMINE,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,[9*]n1c2c/c(=N\C(C)C)c([16*])cc-2nc2ccccc21,[H]n1c2c/c(=N\C(C)C)c([H])cc-2nc2ccccc21,18
CHEMBL1293,BETA CAROTENE,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,[7*]CC([7*])C,[H]CC([H])C,3
CHEMBL1293,BETA CAROTENE,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,[7*]CC1=C(C)CCCC1(C)C,[H]CC1=C(C)CCCC1(C)C,10
